id_produit,nom_produit,marque_produit,prix_produit,en_promotion,date_fin_promo,categorie,sous_categorie,sous_sous_categorie,reference,code_article,gencod,url_produit
52697,Triplite 3x2P+T latérle 16A 230V - blanc/gris foncé ,LEGRAND,7.190041,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",LEG49435,0430953,3414971942929,https://www.lamaison.fr/0430953.html
18377,Fer à souder GALAXY 25W 8025 EXPRESS,EXPRESS,11.100001,Non,,Bricolage,Outillage,Machine d'atelier,,0141374,3189640080300,https://www.lamaison.fr/0141374.html
52694,"Bloc multiprise 3x2P+T  1,5m blanc/gris clair LEGRAND",LEGRAND,10.990081,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",LEG49470,0430944,3414971943629,https://www.lamaison.fr/0430944.html
52699,"Multiprises 5x2P+T  1,5m 3G 1 mm² - noir/gris foncé LEGRAND",LEGRAND,16.990081,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",LEG49482,0430949,3414971943865,https://www.lamaison.fr/0430949.html
52700,"Bloc 3x2P+T  1,5m 3G 1mm² - blanc/bleu ",LEGRAND,10.990081,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",LEG49474,0430943,3414971943704,https://www.lamaison.fr/0430943.html
18382,Lampe à souder PIEZO 8800 EXPRESS,EXPRESS,23.900041,Non,,Bricolage,Outillage,Machine d'atelier,8800,8038257,3189640088009,https://www.lamaison.fr/8038257.html
18378,Fer à souder GALAXY 60W 8060 EXPRESS,EXPRESS,15.100081,Non,,Bricolage,Outillage,Machine d'atelier,,0141375,3189640080607,https://www.lamaison.fr/0141375.html
15596,Tuyau air PVC renforcé 20m Ø 10x17 mm PRODIF,PRODIF,55.950001,Non,,Aménagement intérieur et décoration,Peinture intérieure et produits de rénovation,Outils du peintre,8920V,0223572,3373270006711,https://www.lamaison.fr/0223572.html
18388,Cartouche MAP/Pro 399.7Gr,EXPRESS,21.990001,Non,,Bricolage,Outillage,Machine d'atelier,2400,0293612,3189640024007,https://www.lamaison.fr/0293612.html
18387,Lance Vulcane Ø28 mm EXPRESS,EXPRESS,32.900041,Non,,Bricolage,Outillage,Machine d'atelier,4728,0293611,3189640047280,https://www.lamaison.fr/0293611.html
18383,Multifer TEMPO 393 EXPRESS,EXPRESS,38.700001,Non,,Bricolage,Outillage,Machine d'atelier,,0141376,3189640003934,https://www.lamaison.fr/0141376.html
18381,Lampe PIEZO EXPRESS,EXPRESS,49.899961,Non,,Bricolage,Outillage,Machine d'atelier,343,0321780,3189640003439,https://www.lamaison.fr/0321780.html
14133,Tronçonneuse à métaux ENERGYCUT-180MC PEUGEOT OUTILLAGE,PEUGEOT OUTILLAGE,159.000001,Non,,Bricolage,Outillage,Machine d'atelier,134180,0265426,3611351341802,https://www.lamaison.fr/0265426.html
18379,Lampe à souder multifonctions standard 8700 EXPRESS,EXPRESS,19.899961,Non,,Bricolage,Outillage,Machine d'atelier,8700,0140332,3189640085008,https://www.lamaison.fr/0140332.html
14210,Compresseur vertical 40 L 2.5 CV PRODIF,PRODIF,209.900041,Non,,Bricolage,Outillage,Machine d'atelier,862VL,0253556,3373270009224,https://www.lamaison.fr/0253556.html
14488,Perceuse à colonne 350W EnergyDrill 13B PEUGEOT OUTILLAGE,PEUGEOT OUTILLAGE,389.000041,Non,,Bricolage,Outillage,Machine d'atelier,132613,0279047,3611351326137,https://www.lamaison.fr/0279047.html
12148,Décapeur thermique 2 000W RYOBI,RYOBI,54.990001,Non,,Bricolage,Outillage,Machine d'atelier,5133001137,0240986,4892210118165,https://www.lamaison.fr/0240986.html
15120,Comprestar 3042 B LACME,LACME,2299.000081,Non,,Bricolage,Outillage,Machine d'atelier,161600,0277509,3415161616002,https://www.lamaison.fr/0277509.html
15527,Touret à meuler ENERGYGRIND-150MEP PEUGEOT OUTILLAGE,PEUGEOT OUTILLAGE,139.900081,Non,,Matériaux,Gros oeuvre,Equipement de chantier,133073,0223540,3450811330723,https://www.lamaison.fr/0223540.html
14917,Tronçonneuse de chantier MCS350A + 10 disques SIDAMO,SIDAMO,459.000001,Non,,Bricolage,Outillage,Machine d'atelier,29914006,0247194,3343739140065,https://www.lamaison.fr/0247194.html
15526,Touret à meuler ENERGYGRIND-150P PEUGEOT OUTILLAGE,PEUGEOT OUTILLAGE,139.000081,Non,,Bricolage,Outillage,Machine d'atelier,133053,0242250,3450811330525,https://www.lamaison.fr/0242250.html
15595,Poignée de gonflage métal CE homologuée 10 bar PRODIF,PRODIF,26.900041,Non,,Bricolage,Outillage,Machine d'atelier,1270M,0139907,3373270001983,https://www.lamaison.fr/0139907.html
15528,Scie à onglet manuelle 550 mm PEUGEOT OUTILLAGE,PEUGEOT OUTILLAGE,69.000001,Non,,Bricolage,Outillage,Machine d'atelier,175031,0229579,3450811750316,https://www.lamaison.fr/0229579.html
