identifiant,nom_categorie,type_cat,url,id_parent
111,Plante de haie,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/plante-de-haie.html,19
112,Bambou,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/bambou.html,19
113,Plante climat doux,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/plante-climat-doux.html,19
114,Plante terre de bruyère,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/plante-terre-de-bruyere.html,19
115,Rosier,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/rosier.html,19
116,Plante grimpante,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/plante-grimpante.html,19
117,Sapin de Noël,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/sapin-de-noel.html,19
20,Plante d'extérieur,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plante-d-exterieur.html,4
118,Plante vivace,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plante-d-exterieur/plante-vivace.html,20
119,Plante à massif,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plante-d-exterieur/plante-a-massif.html,20
120,Potée fleurie,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plante-d-exterieur/potee-fleurie.html,20
21,Potager et verger,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/potager-et-verger.html,4
121,Plant du potager,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/potager-et-verger/plant-du-potager.html,21
122,Plante aromatique,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/potager-et-verger/plante-aromatique.html,21
123,Petit fruit,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/potager-et-verger/petit-fruit.html,21
124,Arbre fruitier,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/potager-et-verger/arbre-fruitier.html,21
22,Semence et bulbe,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/semence-et-bulbe.html,4
125,Semence potagère,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/semence-et-bulbe/semence-potagere.html,22
126,Semence fleur,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/semence-et-bulbe/semence-fleur.html,22
127,Semence gazon,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/semence-et-bulbe/semence-gazon.html,22
128,Semence fourragère et améliorant du sol,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/semence-et-bulbe/semence-fourragere-et-ameliorant-du-sol.html,22
129,Bulbe à fleur,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/semence-et-bulbe/bulbe-a-fleur.html,22
130,Pomme de terre et bulbe potager,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/semence-et-bulbe/pomme-de-terre-et-bulbe-potager.html,22
23,Pot et contenant extérieur,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pot-et-contenant-exterieur.html,4
131,Bac à fleurs,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pot-et-contenant-exterieur/bac-a-fleurs.html,23
132,Pot et jardinière plastique,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pot-et-contenant-exterieur/pot-et-jardiniere-plastique.html,23
133,Poterie et terre cuite,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pot-et-contenant-exterieur/poterie-et-terre-cuite.html,23
134,Poterie émaillée,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pot-et-contenant-exterieur/poterie-emaillee.html,23
135,Contenant à réserve d'eau,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pot-et-contenant-exterieur/contenant-a-reserve-d-eau.html,23
136,"Carré potager, table de culture",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pot-et-contenant-exterieur/carre-potager-table-de-culture.html,23
24,Produit de soin et entretien,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/produit-de-soin-et-entretien.html,4
137,Engrais,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/produit-de-soin-et-entretien/engrais.html,24
138,Amendement et terreau,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/produit-de-soin-et-entretien/amendement-et-terreau.html,24
139,Paillage,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/produit-de-soin-et-entretien/paillage.html,24
140,Désherbant,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/produit-de-soin-et-entretien/desherbant.html,24
141,Soin et traitement,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/produit-de-soin-et-entretien/soin-et-traitement.html,24
142,Anti-nuisible,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/produit-de-soin-et-entretien/anti-nuisible.html,24
25,Equipement du jardin,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin.html,4
143,Pompe,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/pompe.html,25
144,Arrosage,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/arrosage.html,25
145,Récupérateur d'eau,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/recuperateur-d-eau.html,25
146,"Pulvérisation, accessoires",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/pulverisation-accessoires.html,25
147,Accessoires semis,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/accessoires-semis.html,25
