code_article,gencod,marque_produit,nom_produit,prix_produit,reference,url_produit
0502646,0077924191947|077924191947,WEBER,Régulateur de chaleur du charbon WEBER,"69,90 €",7666,https://www.lamaison.fr/0502646.html
0502647,0077924193774|077924193774,WEBER,Plancha grand format pour Spirit 3 brûleurs WEBER,"199,90 €",6790,https://www.lamaison.fr/0502647.html
0502658,0077924159640|077924159640,WEBER,Cocotte 2 en 1 pour Gourmet BBQ System WEBER,"159,99 €",8857,https://www.lamaison.fr/0502658.html
0502648,0077924193781|077924193781,WEBER,Plancha grand format pour barbecue Genesis 3 brûleurs WEBER,"299,00 €",6791,https://www.lamaison.fr/0502648.html
0504464,3224780042204,ENO,Nettoyant pour surface emaillée spray 250 ml,"19,90 €",NP250,https://www.lamaison.fr/0504464.html
0502649,0077924194047|077924194047,WEBER,Housse pour barbecue Traveler WEBER,"59,90 €",7770,https://www.lamaison.fr/0502649.html
0502650,0077924194054|077924194054,WEBER,Plancha pour barbecue Traveler WEBER,"64,90 €",7034,https://www.lamaison.fr/0502650.html
0504465,3224780043119,ENO,Éponge 3 boules inox pour plancha,"19,50 €",SBI58,https://www.lamaison.fr/0504465.html
0528156,3224780043720,ENO,Plancha électrique Combo initial 50,"598,70 €",55518385,https://www.lamaison.fr/0528156.html
0437912,0077924180422|077924180422,WEBER,Housse Premium pour Genesis 300 WEBER,"139,99 €",7194,https://www.lamaison.fr/0437912.html
0504463,3224780035671,ENO,Plancha cleaner pâte d'argile ,"9,90 €",PMC300,https://www.lamaison.fr/0504463.html
0370856,077924059247|0077924059247,WEBER,Housse premium Spirit II 300 & Spirit EO-210/220 séries 300,"119,90 €",7183,https://www.lamaison.fr/0370856.html
0392884,0077924041112|077924041112,WEBER,Fumoir à froid Weber,"57,50 €",17636,https://www.lamaison.fr/0392884.html
0528157,3563880125333,KRAMPOUZ,Plancha électrique Samba inox KRAMPOUZ,"399,00 €",SAMBA,https://www.lamaison.fr/0528157.html
0344703,0077924035654|077924035654,WEBER,Housse premium pour séries Q 2000,"39,99 €",7118,https://www.lamaison.fr/0344703.html
0389601,0077924129674|077924129674,WEBER,Housse premium pour Smokefire 61 cm,"129,99 €",7192,https://www.lamaison.fr/0389601.html
0380611,0077924088872,WEBER,1 demi Grille Spirit II 210 & 310,"84,90 €",67499,https://www.lamaison.fr/0380611.html
0389603,0077924129810|077924129810,WEBER,Barquette aluminium - 6 pièces,"19,99 €",6498,https://www.lamaison.fr/0389603.html
0389606,0077924122705|077924122705,WEBER,Tapis de protection Weber,"36,90 €",17897,https://www.lamaison.fr/0389606.html
0376737,077924086571,WEBER,Housse pour Master-Touch Premium 57 cm,"44,90 €",7186,https://www.lamaison.fr/0376737.html
0370855,077924059230|0077924059230,WEBER,Housse premium Spirit II 200 & Spirit E-210 (excl. EO-210),"89,90 €",7182,https://www.lamaison.fr/0370855.html
0205193,0077924052798|077924074899|0077924074899,WEBER,"Plat de cuisson - en acier inoxydable, rectangle","36,90 €",6435,https://www.lamaison.fr/0205193.html
0437951,5420059844601|5420059853542,BARBECOOK,Planche à découper en bambou 40x30x3cm FSC 100% BARBECUE,"34,90 €",BC-ACC-7306,https://www.lamaison.fr/0437951.html
0437952,5420059844618,BARBECOOK,Planche à découper avec rainure 50x35x3cm FSC 100% BARBECOOK,"49,90 €",BC-ACC-7307,https://www.lamaison.fr/0437952.html
0528158,3563880123667,KRAMPOUZ,Plancha électrique Saveur inox KRAMPOUZ,"499,00 €",SAVEUR,https://www.lamaison.fr/0528158.html
0437950,5420059853535|5420059844595,BARBECOOK,Planche à découper 46.5x28x2.8cm FSC 100% BARBECOOK,"36,90 €",BC-ACC-7305,https://www.lamaison.fr/0437950.html
0437953,5420059853566,BARBECOOK,Planche à découper en bambou 43x28x2cm FSC 100% BARBECOOK,"29,90 €",BC-ACC-7308,https://www.lamaison.fr/0437953.html
0437949,5420059844588,BARBECOOK,Planche à hâcher en bambou 45x35x5cm FSC 100% BARBECOOK,"54,90 €",BC-ACC-7304,https://www.lamaison.fr/0437949.html
0415207,5400269238773,BARBECOOK,Tapis de grille souple noir 36x42cm BARBECOOK,"8,90 €",223.0226.000,https://www.lamaison.fr/0415207.html
0528159,3563880124091,KRAMPOUZ,Plancha électrique Design inox KRAMPOUZ,"629,00 €",DESIGN,https://www.lamaison.fr/0528159.html
0414770,0077924160509|077924160509,WEBER,Housse de transport pour barbacue Traveler WEBER,"59,90 €",7030,https://www.lamaison.fr/0414770.html
0528160,3563880125340,KRAMPOUZ,Plancha à gaz Samba inox KRAMPOUZ,"399,00 €",SAMBA,https://www.lamaison.fr/0528160.html
0414771,0077924159633|077924159633,WEBER,Set de brochettes 8 pièces WEBER,"11,99 €",6320,https://www.lamaison.fr/0414771.html
0414773,0077924159695|077924159695,WEBER,Kit 2 accessoires Spatule + pince Better WEBER,"47,90 €",6763,https://www.lamaison.fr/0414773.html
0414774,0077924159664|077924159664,WEBER,Pince Better de barbecue précision WEBER,"27,99 €",6760,https://www.lamaison.fr/0414774.html
0414775,0077924159671|077924159671,WEBER,Spatule Better de barbecue précision WEBER,"27,99 €",6761,https://www.lamaison.fr/0414775.html
0389615,0077924122682|077924122682,WEBER,Gants de protection en cuir WEBER,"34,90 €",17896,https://www.lamaison.fr/0389615.html
0414776,0077924159688|077924159688,WEBER,Spatule large Better WEBER,"29,99 €",6762,https://www.lamaison.fr/0414776.html
0323117,0077924073830|077924073830,WEBER,Panier à charbon pour barbecues Ø57 et 67 cm (x2),"28,99 €",7403,https://www.lamaison.fr/0323117.html
0264056,0077924021619|077924021619,WEBER,Chariot pour séries Q 1000/2000,"164,90 €",6557,https://www.lamaison.fr/0264056.html
0380623,3292194055394,grill,Grille simple de remplacement Bergamo Exel grill,"20,90 €",405539CDS,https://www.lamaison.fr/0380623.html
0426051,8436550205398,FORGE ADOUR,Capot acier modern 60 ch,"119,00 €",CPAM,https://www.lamaison.fr/0426051.html
0414772,0077924159701|077924159701,WEBER,Kit 3 accessoires,"67,99 €",6764,https://www.lamaison.fr/0414772.html
0239428,3292194705084|3326880007555,accessoires,Valisette barbecue 8 accessoires,"52,90 €",470508CDS,https://www.lamaison.fr/0239428.html
0380622,3292194051334,2000,Grille simple de remplacement Athènes Vulcano 2000,"15,95 €",495133CDS,https://www.lamaison.fr/0380622.html
0230998,077924004353|0077924004353,WEBER,Grille de saisie Gourmet BBQ System,"67,99 €",8834,https://www.lamaison.fr/0230998.html
0216548,0077924074059|077924074059,WEBER,Grille foyère pour barbecues Ø47 cm,"24,99 €",7440,https://www.lamaison.fr/0216548.html
0216549,0077924074066|077924074066,WEBER,Grille foyère pour barbecues Ø57 cm,"36,99 €",7441,https://www.lamaison.fr/0216549.html
0264059,0077924011887|0077924022166|077924011887,WEBER,Gant barbecue,"17,49 €",6472,https://www.lamaison.fr/0264059.html
0425799,3224780037309,ENO,Housse pour ensemble,"69,90 €",HCI120,https://www.lamaison.fr/0425799.html
0428444,3292194265045,inoxydable,Mallette 4 accessoires acier inoxydable,"35,99 €",426504CDS,https://www.lamaison.fr/0428444.html
0344716,0077924032011|077924032011,WEBER,Housse luxe Performer Premium/Deluxe GBS,"89,90 €",7146,https://www.lamaison.fr/0344716.html
0205192,0077924052781|0077924074882|077924074882,WEBER,Panier à légumes Deluxe,"42,99 €",6434,https://www.lamaison.fr/0205192.html
0425798,3224780037323,ENO,Housse pour plancha Océane 65,"34,90 €",HPI60,https://www.lamaison.fr/0425798.html
0425800,3224780040637,ENO,Spatule large inox,"24,90 €",SP12058,https://www.lamaison.fr/0425800.html
9985842,077924007644|0077924007644,WEBER,Grille de cuisson chromée pour barbecue Ø 57 cm,"36,99 €",8423,https://www.lamaison.fr/9985842.html
0414777,0077924129636|077924129636,WEBER,Assistant barbecue Connect smart Grilling Hub WEBER,"168,09 €",3202,https://www.lamaison.fr/0414777.html
0389614,0077924122637|077924122637,WEBER,Plancha céramique 39 x 31 cm,"82,90 €",17885,https://www.lamaison.fr/0389614.html
0414783,0077924032172,WEBER,Lot 5 barres Flavorizer acier émaillé Spirit 300 WEBER,"84,99 €",7636,https://www.lamaison.fr/0414783.html
0371829,077924018145|0077924018145,WEBER,Support de cuisson Deluxe pour poulet WEBER,"57,49 €",6731,https://www.lamaison.fr/0371829.html
0414780,0077924159534|077924159534,WEBER,Brosse inox triangulaire 46 cm WEBER,"14,99 €",6278,https://www.lamaison.fr/0414780.html
0414781,0077924159510|077924159510,WEBER,Brosse de nettoyage en bambou 46 cm WEBER,"12,99 €",6276,https://www.lamaison.fr/0414781.html
0414778,0077924159541|077924159541,WEBER,Brosse de précision WEBER,"12,99 €",6279,https://www.lamaison.fr/0414778.html
0528696,0077924199295|077924199295,WEBER,Wok multiusage fonte d'acier pour Gourmet BBQ System WEBER,"109,99 €",7607,https://www.lamaison.fr/0528696.html
0239448,077924011207|0077924011207,WEBER,Fumoir universel WEBER,"34,90 €",7576,https://www.lamaison.fr/0239448.html
0358098,077924059094|0077924059094,WEBER,Rôtissoire pour séries Spirit séries 200 et 300 WEBER,"167,49 €",8519,https://www.lamaison.fr/0358098.html
0205185,0779240751170|0077924075063|077924075063,WEBER,Plancha série Q 300/3000,"84,99 €",6506,https://www.lamaison.fr/0205185.html
0431598,3420900120610,ECOGENE,Bidon PH plus liquide 5L ECOGENE,"19,99 €",190314,https://www.lamaison.fr/0431598.html
0230996,0077924004902|077924004902,WEBER,Grille de cuisson Gourmet BBQ System barbecue Ø57 cm,"69,99 €",8835,https://www.lamaison.fr/0230996.html
0528162,3563880128624,KRAMPOUZ,Capot de protection inox pour plancha Samba KRAMPOUZ,"106,50 €",ACP11,https://www.lamaison.fr/0528162.html
0431577,3420900121419,ECOGENE,Kit analyseur PH et brome avec pastilles ECOGENE,"11,50 €",198838,https://www.lamaison.fr/0431577.html
0431591,3420900106911,ECOGENE,Bidon anti-algues multi-actions 5L ECOGENE,"29,90 €",062646,https://www.lamaison.fr/0431591.html
0431607,3420900121358,ECOGENE,Régénérateur au brome poudre pour spa 1kg ECOGENE,"21,90 €",198770,https://www.lamaison.fr/0431607.html
0344724,0077924031823|077924031823,WEBER,Roulette à pizza,"27,49 €",6690,https://www.lamaison.fr/0344724.html
0239456,0077924011894|077924011894,WEBER,Tablier,"24,99 €",6474,https://www.lamaison.fr/0239456.html
0323121,0077924037160|077924037160,WEBER,Poignée de grille Gourmet BBQ System,"28,99 €",08844,https://www.lamaison.fr/0323121.html
0344722,0077924011962|077924011962,WEBER,Support de cuisson pour poulet,"24,99 €",6482,https://www.lamaison.fr/0344722.html
0344720,0077924075285|3602018048134|0077924013072|077924013072,WEBER,Rôtissoire barbecues charbon Ø57 cm,"199,90 €",7494,https://www.lamaison.fr/0344720.html
0249577,0077924019036|077924019036,WEBER,Support de cuisson poulet Gourmet BBQ System,"79,99 €",8838,https://www.lamaison.fr/0249577.html
0239450,077924010835|0077924010835,WEBER,Support de cuisson Premium,"34,95 €",6469,https://www.lamaison.fr/0239450.html
0344719,0077924052088|077924052088,WEBER,Rôtissoire Genesis,"199,99 €",7654,https://www.lamaison.fr/0344719.html
0344730,0077924048395|077924048395,WEBER,Thermomètre digital,"23,09 €",6750,https://www.lamaison.fr/0344730.html
0264058,0077924019494|077924019494,WEBER,Cheminée d'allumage Rapidfire,"22,99 €",7447,https://www.lamaison.fr/0264058.html
0348259,0077924052453|077924052453,WEBER,iGrill 2,"150,09 €",7221,https://www.lamaison.fr/0348259.html
0249567,0077924007606|077924007606,WEBER,Grande barquette en aluminium XL (x5),"10,39 €",6454,https://www.lamaison.fr/0249567.html
0174041,077924060892|077924074769,WEBER,Grande barquette en aluminium (x10),"11,49 €",6416,https://www.lamaison.fr/0174041.html
0358099,077924051395|0077924051395,WEBER,Éponge de nettoyage (x2),"3,49 €",17688,https://www.lamaison.fr/0358099.html
0344728,0077924012006|077924012006,WEBER,Gants Premium - Taille L/XL,"59,99 €",6670,https://www.lamaison.fr/0344728.html
0268615,0077924060908|0077924075186|077924075186,WEBER,Brochettes doubles (x8),"17,99 €",8402,https://www.lamaison.fr/0268615.html
